,i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
179,,,,,,,,,,(,,
182,,,,,,,,,(,,,
185,,,,,,,,(,,,,
187,,(,,,,,,,,,,(
189,,,,,,(,,,,,,
190,,,,(,,,,,,,,
193,,,,,,,,,,,(,
196,(,,(,,,,,,,,,
199,,,,,,,(,,,,,
206,,,,,(,,,,,,,
210,,,,,,,,,,p,,
211,,,,,,,,p,,,,
213,,,,,,,,,p,,,
217,,,,,,,,,,,,p
220,,,,,,p,,,,,,
222,,p,,,,,,,,,,
224,,,,,,,,,,,p,
225,p,,,,,,p,,,,,
226,,,,p,,,,,,,,
228,,,,,p,,,,,,,
230,,,p,,,,,,,,,
235,,,,,,,,,),,,
237,,,,,,,,),,,,
242,,,,,,,,,,),,
244,,,,,,),),,,,,
247,,,,,,,,,,,,)
250,,),,),,,,,,,,
251,,,,,),,,,,,,
252,,,,,,,,(,,,,
254,),,,,,,,,,,,
256,,,,,,,,,,,),
257,,,),,,,,,,,,
264,,,,,,,(,,,,,
271,,,,,,,,,(,,,
272,,,,,,,,,,(,,
275,,,,,,(,,,,,,
276,,,,(,,,,,N,,,(
277,,,(,,(,,,,,,,
278,,,,,,,N,N,,,(,
279,,,,,,,,,,N,,
280,(,,,,,,,,,,,
281,,(,,,,,,,,,,
284,,,,N,,,,,,,,
295,,,N,,,,,,,,,
300,,,,,,N,,,,,,
305,,N,,,,,,,,,,
322,,,,,,,,,,,N,N
335,N,,,,,,,,,,,
336,,,,,N,,,,,,,
337,,),,,,,,,,,,
353,,,,),,,,,,,,
360,,,,,,),),,,,,
361,,,),,,,,,,,,
362,),,,,,,,,,,,
363,,,,,),,,,,,,)
364,,,,,,,,,,,),
366,,,,,,,,),,,,
367,,,,,,,,,,),,
368,,,,,,,(,,,,,
373,,,,,,,,(,,,,
380,,,,,,,,,),,,
388,,,,,,,(,,(,,,
389,,,,,,,,,,(,,
392,,,,,,,(,,,,,
394,,,(,,,,(,(,,,,
395,,,,,,,(,,,,,
397,,,,,,(,(,,,,,
399,,,,,,,,(,,,,
406,,(,,,,,,(,,,,
410,,,,,,,,,,,(,(
413,(,,,,,,,,,,,
418,,,,,,,t,,,,,
419,,,,,,,t,,,,,
420,,,,(,,,,,,,,
422,,,,,(,,,t,,,,
424,,,,,,,t,,,,,
425,,,t,,,,t,t,,,,
427,,,,,,,t,,,,,
428,,,,,,,t,,,,,
429,,,,,,,,,t,,,
430,,,,,,,,t,,,,
435,,,,,,,,,,t,,
438,,,,,,,,t,,,,
449,,t,,,,,,,,,,
450,,,,,,t,),,,,t,
452,,,,t,,,,,,,,
455,t,,,,,,),,,,,
456,,,,,,,,,,,,t
457,,,),,,,),),,,,
458,,,,,,,),,,,,
459,,,,,t,,,,,,,
460,,,,,,,),,,,,
461,,,,,,,,),,,,
469,,,,,,,,),,,,
470,,,,,,,),,,,,
476,,,,),,,,,),,,
477,),,,,,,,),,,,
480,,),,,,,,,,,,
481,,,,,),,,,,,,
482,,,,,,),,,,,),
484,,,,,,,,,,),,
493,,,,,,,,,,,,)
511,,,,,,,,(,,,,
513,,,,,,,,,,(,,
514,,,,(,,,,,,,,
515,,(,,,,,,,(,,(,
518,(,,,,,,,,,,,
521,,,,,,(,,,,,,
524,,,,,,,(,,,,,(
533,,,,,(,,,,,,,
537,,,,,,,,p,,,,
538,,,,,,,,,p,,,
540,,,(,,,,,,,,,
542,,,,,,p,,,,,,
544,,,,,,,,,,p,,
550,,,,p,,,p,,,,,
551,,,,,,,,,,,,p
553,p,,,,,,,,,,p,
554,,p,,,,,,,,,,
558,,,,,,,,),,,,
562,,,,,p,,,,,,,
563,,,p,,,),,,,,,
574,,),,,,,,,,,,
576,,,,,,,),,,),,)
577,,,,,),,,,),,,
578,,,,,,,,,,,),
580,,,),,,,,,,,,
582,,,,),,,,,,,,
583,),,,,,,,,,,,
590,,,,,,,,(,,,,
592,,,,,,,,,,(,,
597,,,,,,,(,,,,,
599,,,,,,,,,(,,,
601,(,,,(,,,,,,,,
606,,,,,,,N,N,N,,,
608,,,,,,,,,,,,(
610,,,,,(,,,,,N,,
612,,(,,,,,,,,,,
614,,,,N,,,,,,,(,
616,,,(,,,(,,,,,,
621,,,N,,,,,,,,,
623,,,,,,N,,,,,,
635,,N,,,,,,,,,,
651,,,,,,,,,,,N,N
660,,),,,N,,,,,,,
662,N,,,,,,,,,,,
684,,,,),,,,,,,,
689,,,),,,),,,,,,
690,,,,,,,),,,,,
691,,,,,,,,,,,),
692,),,,,),,,,,,,
693,,,,,,,,,,,,)
699,,,,,,,,,,),,
700,,,,,,,(,,,,,
702,,,,,,,,),,,,
703,,,,,,,,,),,,
706,,,,,,,,(,,,,
712,,,,,,,,,(,,,
716,,,,,,,,,,(,,
718,,,(,,,,,,,,,
721,,,,,,(,,,,,,
728,,(,,,,,,,,,,
736,,,,,,,,,,,(,
740,,,,(,,,,,,,,
743,(,,,,,,,,,,,
746,,,,,,,,,,,,(
747,,,t,,(,,t,,,,,
752,,,,,,,,t,,,,
757,,,,,,,,,t,,,
764,,,,,,,,,,t,,
775,,,,,,t,,,,,,
777,,,,,,,,,,,t,
779,,t,,,,,,,,,,
781,,,,t,,,,,,,,
782,t,,,,,,,,,,,
784,,,,,t,,,,,,,
787,,,,,,,,,,,,t
788,,,),,,,,,,,,
797,,,,,,,),,,,,
802,,,,,,,,,,),,
809,,,,,,,,,),,,
810,,,,,),,,,,,,
814,,),,,,,,,,,,)
815,,,,,,,,),,,),
817,,,,,,),,,,,,
818,),,,,,,,,,,,
819,,,,),,,,,,,,
839,,,,,,,,(,,,,
